time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises,,,
38.216500000001,-0.64115374996789,-0.2137176549172,4.0945630994356E-24,0.005604819115709,1.733682496258,0,3.4228863250407E-20,4.1547062033023,3.8312316415313E-20,-4.1192748006156,-2.6826351084878E-20,2.6826610925808E-20,8.6529325610605,8.6529267102407,-2.0157099160731E-09,-2.0157227713996E-09,2.6826474489254E-20,-2.6826249786048E-20,2.0157146889617E-09,2.01571768514E-09,8.6529426892468,8.6529485399839,3.1466995997887,1.4882254926951E-05,4.1547062033023E-06,-3.076926466664E-12,0,360.31495651411,100000247.50422,-8.7339870761053E-14,-0.009331030100501,0.01192857086362,293.01554111734,-1.5770728115915E-07,826.50160715725,679.18025208562,,716.50160715725,826.50160715725
38.316500000001,-0.63315473786645,-0.21105131953055,4.0348191856538E-24,0.005607161328426,1.7336820897788,0,3.3739145271398E-20,4.1282665565618,3.7735903059942E-20,-4.0939357647643,-2.6422745476945E-20,2.6423001822591E-20,8.5997054495071,8.5996996233207,-1.9846944086323E-09,-1.9847070720516E-09,2.6422867384508E-20,-2.6422645652045E-20,1.9846991102618E-09,1.984702061906E-09,8.5997155681418,8.5997213942471,3.1273427318242,1.478566008173E-05,4.1282665565618E-06,-3.0779826625461E-12,0,360.31495662293,100000247.60764,-8.7749265540784E-14,-0.009331748081582,0.01192857086362,292.931155275,-1.5621183333919E-07,826.27482422164,678.98172548896,,716.27482422164,826.27482422164
38.416500000001,-0.62527762239207,-0.20842561633542,3.976301886597E-24,0.005609488660309,1.7336816858738,0,3.3259344049503E-20,4.1020731856609,3.7171691739792E-20,-4.0688190293946,-2.6027683754114E-20,2.6027936672983E-20,8.5469453019045,8.5469395002469,-1.95434622333E-09,-1.9543586988738E-09,2.602780419178E-20,-2.6027585372823E-20,1.9543508551997E-09,1.9543537632382E-09,8.5469554108811,8.5469612124595,3.1081556854344,1.4689977178091E-05,4.1020731856609E-06,-3.0769222511728E-12,0,360.31495673107,100000247.7104,-8.8068454699689E-14,-0.009332461516603,0.01192857086362,292.84730579324,-1.5473711547273E-07,826.04948453094,678.78446241011,,716.04948453094,826.04948453094
38.516500000001,-0.61752025762823,-0.20583983002632,3.9189799357324E-24,0.005611801249783,1.7336812845191,0,3.2789209701581E-20,4.0761232160103,3.6619361663068E-20,-4.04392223166,-2.5640941297457E-20,2.5641190856372E-20,8.4946471548607,8.4946413776278,-1.9246475719161E-09,-1.9246598635107E-09,2.5641060291534E-20,-2.5640844330232E-20,1.924652135486E-09,1.9246550008231E-09,8.4946572540749,8.4946630312302,3.0891366555479,1.4595195449838E-05,4.0761232160103E-06,-3.0772210051851E-12,0,360.31495683852,100000247.81252,-8.8283560449943E-14,-0.009333170447704,0.011928570863619,292.76398768042,-1.5328343518538E-07,825.82557463614,678.58845107393,,715.82557463614,825.82557463614
38.616500000001,-0.60988054012024,-0.20329325945206,3.8628230040976E-24,0.005614099233663,1.7336808856911,0,3.2328499761559E-20,4.0504138131909,3.6078601966805E-20,-4.019243037563,-2.526230044023E-20,2.5262546704373E-20,8.4428061055843,8.442800352672,-1.8955812235887E-09,-1.8955933350585E-09,2.5262418016432E-20,-2.5262204858281E-20,1.8955857202811E-09,1.8955885437978E-09,8.4428161949333,8.4428219477693,3.0702838591327,1.4501304282693E-05,4.0504138131909E-06,-3.0744661712363E-12,0,360.31495694529,100000247.91399,-8.8498666200076E-14,-0.009333874916535,0.011928570863619,292.68119600313,-1.5183287130145E-07,825.60308124538,678.39367984287,,715.60308124538,825.60308124538
38.716500000001,-0.60235640794558,-0.20078521730529,3.8078016682962E-24,0.00561638274717,1.7336804893666,0,3.1876978929615E-20,4.0249421822903,3.5549111366036E-20,-3.9947791415536,-2.489155022222E-20,2.4891793255173E-20,8.391417311041,8.3914115823448,-1.8671304850704E-09,-1.867142420141E-09,2.4891666405676E-20,-2.4891455997484E-20,1.8671349162704E-09,1.8671376988254E-09,8.391427390423,8.3914331190438,3.0515955348893,1.4408293211769E-05,4.0249421822903E-06,-3.073559996402E-12,0,360.31495705139,100000248.01482,-8.8727649737876E-14,-0.009334574964262,0.011928570863619,292.59892588532,-1.5041283837946E-07,825.38199122161,678.20013721498,,715.38199122161,825.38199122161
38.816500000001,-0.59494583980157,-0.19831502981854,3.7538873795943E-24,0.005618651923957,1.7336800955225,0,3.1434418829845E-20,3.9997055672307,3.5030597816824E-20,-3.9705282661347,-2.4528486153795E-20,2.4528726017595E-20,8.3404759871239,8.3404702825399,-1.8392791814793E-09,-1.8392909437805E-09,2.4528600969071E-20,-2.4528393258919E-20,1.8392835485368E-09,1.8392862909664E-09,8.3404860564386,8.3404917609485,3.033069942949,1.4316151919015E-05,3.9997055672307E-06,-3.0737145744598E-12,0,360.31495715682,100000248.11502,-8.9060716684172E-14,-0.009335270631578,0.011928570863618,292.5171725076,-1.4900310784326E-07,825.16229158058,678.00781182205,,715.16229158058,825.16229158058
38.916500000001,-0.58764685412177,-0.19588203646991,3.7010524343049E-24,0.00562090689613,1.733679704136,0,3.1000597778005E-20,3.9747012501575,3.4522778192569E-20,-3.9464881614743,-2.4172909989257E-20,2.4173146744436E-20,8.2899774078389,8.2899717272637,-1.8120116379627E-09,-1.8120232310316E-09,2.4173023460371E-20,-2.4172818397575E-20,1.8120159421927E-09,1.8120186453123E-09,8.2899874669876,8.289993147491,3.0147053645781,1.4224870230875E-05,3.9747012501575E-06,-3.0746652398801E-12,0,360.31495726159,100000248.21459,-8.9317455797412E-14,-0.009335961958705,0.011928570863618,292.43593110636,-1.4760978725579E-07,824.94396948865,677.8166924278,,714.94396948865,824.94396948865
39.016500000001,-0.58045750820882,-0.19348558969358,3.6492699452254E-24,0.00562314779427,1.7336793151845,0,3.0575300557408E-20,3.9499265507946,3.4025377972993E-20,-3.9226566050219,-2.382462950907E-20,2.3824863214701E-20,8.2399169045007,8.2399112478307,-1.7853126620566E-09,-1.7853240893401E-09,2.3824741659504E-20,-2.382453919458E-20,1.7853169047406E-09,1.7853195693449E-09,8.2399269533861,8.239932609987,2.9965001018847,1.4134438115843E-05,3.9499265507946E-06,-3.0725439681969E-12,0,360.31495736571,100000248.31354,-8.9560317122755E-14,-0.009336648985402,0.011928570863618,292.35519697307,-1.4623158095929E-07,824.72701226069,677.62676792593,,714.72701226069,824.72701226069
39.116500000001,-0.57337589738721,-0.19112505459793,3.598513814161E-24,0.005625374747451,1.7336789286459,0,3.015831820327E-20,3.9253788258249,3.3538130945265E-20,-3.8990314011336,-2.3483458310582E-20,2.3483689024325E-20,8.1902898649431,8.1902842320743,-1.7591675267429E-09,-1.7591787916E-09,2.3483569163302E-20,-2.348336924793E-20,1.7591717091295E-09,1.7591743359937E-09,8.1902999034701,8.1903055362703,2.978452477532,1.4044845682098E-05,3.9253788258248E-06,-3.0730222635954E-12,0,360.31495746918,100000248.41188,-8.9907261856517E-14,-0.009337331750973,0.011928570863618,292.27496545344,-1.4487477395239E-07,824.51140735803,677.43802733846,,714.51140735803,824.51140735803
39.216500000001,-0.56640015418187,-0.18879980869155,3.5487587055181E-24,0.005627587883265,1.7336785444981,0,2.9749447795394E-20,3.9010554683055,3.3060778916758E-20,-3.8756103807013,-2.3149215606899E-20,2.3149443385034E-20,8.1410917327416,8.1410861235699,-1.7335619541707E-09,-1.7335730598756E-09,2.3149325184361E-20,-2.3149127771362E-20,1.7335660774769E-09,1.7335686673565E-09,8.1411017608157,8.1411073699183,2.9605608344552,1.3956083175276E-05,3.9010554683055E-06,-3.0742685409704E-12,0,360.31495757201,100000248.5096,-9.0219512120712E-14,-0.009338010294273,0.011928570863617,292.19523194679,-1.4353256200289E-07,824.29714238649,677.25045981384,,714.29714238649,824.29714238649
39.316500000001,-0.55952844751231,-0.18650924161447,3.4999800208526E-24,0.005629787327839,1.7336781627194,0,2.9348492258285E-20,3.8769539070685,3.2593071438905E-20,-3.8523914007901,-2.2821726033533E-20,2.2821950931E-20,8.0923180064499,8.0923124208719,-1.7084821000155E-09,-1.7084930497605E-09,2.2821834357697E-20,-2.2821639400997E-20,1.708486165428E-09,1.7084887190595E-09,8.0923280239778,8.0923336094867,2.9428235355847,1.3868140976187E-05,3.8769539070685E-06,-3.074196155903E-12,0,360.3149576742,100000248.60672,-9.0504006809247E-14,-0.009338684653709,0.011928570863617,292.11599190518,-1.4220359673311E-07,824.08420509435,677.0640546253,,714.08420509435,824.08420509435
39.416500000001,-0.5527589819038,-0.18425275487516,3.4521538743643E-24,0.005631973205858,1.7336777832882,0,2.8955260168618E-20,3.8530716061191,3.2134765541701E-20,-3.8293723442777,-2.2500819462495E-20,2.2501041532932E-20,8.0439642388448,8.0439586767571,-1.6839145384472E-09,-1.6839253353447E-09,2.2500926554839E-20,-2.2500734009439E-20,1.6839185471229E-09,1.6839210652246E-09,8.0439742457346,8.0439798077536,2.9252389635704,1.3781009598532E-05,3.8530716061191E-06,-3.075495795306E-12,0,360.31495777576,100000248.70324,-9.07815626038E-14,-0.009339354867256,0.011928570863617,292.03724083278,-1.4088489488907E-07,823.87258337035,676.87880116907,,713.87258337035,823.87258337035
39.516500000001,-0.54608999672397,-0.18202976159641,3.4052570693376E-24,0.005634145640582,1.7336774061834,0,2.8569565570102E-20,3.8294060641007,3.1685625478407E-20,-3.8065511195033,-2.2186330823538E-20,2.2186550119323E-20,7.9960260361866,7.9960204974864,-1.6598462476815E-09,-1.6598568947665E-09,2.2186436705073E-20,-2.2186246527017E-20,1.6598502007487E-09,1.6598526840208E-09,7.9960360323477,7.9960415709807,2.9078055205133,1.3694679686854E-05,3.8294060641007E-06,-3.0735745119868E-12,0,360.3149578767,100000248.79916,-9.1059118398257E-14,-0.009340020972451,0.011928570863616,291.9589742851,-1.3958746696065E-07,823.66226524181,676.69468896272,,713.66226524181,823.66226524181
39.616500000001,-0.53951976543164,-0.17983968626444,3.3592670754157E-24,0.005636304753866,1.7336770313838,0,2.8191227794815E-20,3.8059548137114,3.1245422480001E-20,-3.7839256599189,-2.1878099932224E-20,2.1878316504505E-20,7.9484990574882,7.9484935420725,-1.6362645960891E-09,-1.6362750963212E-09,2.1878204623503E-20,-2.1878016769852E-20,1.6362684946478E-09,1.6362709437735E-09,7.9485090428314,7.948514558182,2.8905216276996,1.3609142014325E-05,3.8059548137114E-06,-3.0744342962834E-12,0,360.31495797701,100000248.8945,-9.1364429768218E-14,-0.009340683006409,0.011928570863616,291.88118786835,-1.3830652278631E-07,823.45323887274,676.5117076435,,713.45323887274,823.45323887274
39.716500000001,-0.53304659484662,-0.17768196448606,3.3141620067348E-24,0.00563845066618,1.7336766588687,0,2.7820071291255E-20,3.7827154211755,3.0813934518987E-20,-3.7614939237493,-2.1575971324545E-20,2.1576185223279E-20,7.9013790137998,7.9013735215661,-1.6131573288401E-09,-1.6131676851058E-09,2.1576074845681E-20,-2.1575889274476E-20,1.6131611739632E-09,1.613163589609E-09,7.9013889882381,7.9013944804084,2.8733857253404,1.3524387480729E-05,3.7827154211755E-06,-3.0721453053699E-12,0,360.31495807672,100000248.98926,-9.1676680031975E-14,-0.009341341005824,0.011928570863616,291.80387723869,-1.3704304072818E-07,823.24549256203,676.32984696674,,713.24549256203,823.24549256203
