time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
3.0165,6.9003049179406e-39,1.7327179289132,0,-5.6299455411475e-41,5.6299455411479e-41,6.9269523573031e-20,6.9269523573035e-20,-3.2250954972229e-30,-3.2250954972231e-30,5.6299455411479e-41,-5.6299455411476e-41,3.2250954972231e-30,3.2250954972229e-30,6.9269523573032e-20,6.9269523573034e-20,2.4835168383315e-20,4.0375861811306e-25,2.8156539629485e-16,0,355.31469625632,100000000,-4.3380936702946e-16,-0.0018688272152927,0.0030119594921432,117.87378492523,3.6179540695898e-07,311.36124440589,272.28427273373
3.1165,3.5335348841656e-38,1.7327399358207,0,-2.9715011525497e-40,2.9715011525505e-40,3.6921214298916e-19,3.6921214298918e-19,-1.7293113911207e-29,-1.7293113911206e-29,2.9715011525503e-40,-2.97150115255e-40,1.7293113911207e-29,1.7293113911206e-29,3.6921214298918e-19,3.6921214298916e-19,1.3242828046509e-19,2.0952385755993e-24,1.0068919509152e-16,0,355.31469625632,100000000,-4.482011469783e-16,-0.0019312385772876,0.0031116537796801,121.78295849297,3.7403309777909e-07,321.75139532509,281.37379477328
3.2165,1.8503979789659e-37,1.7327619356462,0,-1.4878520506252e-39,1.4878520506251e-39,1.8669035584417e-18,1.8669035584418e-18,-8.7966060467544e-29,-8.796606046755e-29,1.4878520506252e-39,-1.4878520506252e-39,8.7966060467549e-29,8.7966060467545e-29,1.8669035584417e-18,1.8669035584418e-18,6.6987881341067e-19,1.0323628273729e-23,-2.383820118165e-16,0,355.31469625632,100000000,-4.482011469783e-16,-0.001993679604495,0.0032113381292566,125.69223553511,3.8628188950797e-07,332.14594446414,290.46738205402
3.3165,7.6834138416974e-37,1.7327839283808,0,-7.0902254370193e-39,7.0902254370187e-39,8.9842998013174e-18,8.984299801317e-18,-4.2586574789042e-28,-4.2586574789041e-28,7.0902254370183e-39,-7.0902254370197e-39,4.2586574789042e-28,4.258657478904e-28,8.984299801317e-18,8.9842998013175e-18,3.2249187730819e-18,4.8450853780773e-23,8.4863317993449e-16,0,355.31469625632,100000000,-4.6464889549127e-16,-0.0020561503235181,0.0033110125428543,129.60161649199,3.9853290991165e-07,342.54489376624,299.56503651347
3.4165,2.6457701903025e-36,1.7328059140151,0,-3.2251930628842e-38,3.2251930628841e-38,4.1270711422522e-17,4.1270711422523e-17,-1.9679988019305e-27,-1.9679988019305e-27,3.2251930628843e-38,-3.225193062884e-38,1.9679988019305e-27,1.9679988019305e-27,4.1270711422523e-17,4.1270711422522e-17,1.4819311837152e-17,2.1722012454862e-22,-4.3163566052983e-16,0,355.31469625632,100000000,-4.6464889549127e-16,-0.0021186507609997,0.0034106770224534,133.51110180439,4.1081485406039e-07,352.94824517674,308.66676009095
3.5165,1.8115116081436e-35,1.7328278925399,0,-1.4041541902516e-37,1.4041541902513e-37,1.8145254874016e-16,1.8145254874015e-16,-8.7044137493487e-27,-8.7044137493487e-27,1.4041541902512e-37,-1.4041541902516e-37,8.7044137493489e-27,8.7044137493485e-27,1.8145254874014e-16,1.8145254874017e-16,6.5176753261572e-17,9.3277789293099e-22,7.5682766401652e-16,0,355.31469625632,100000000,-4.9343245538896e-16,-0.0021811809436198,0.0035103315700335,137.42069191345,4.2310494615107e-07,363.35600064292,317.77255472752
3.6165,4.9504889530021e-35,1.7328498639461,0,-5.8655250831548e-37,5.8655250831546e-37,7.6545063493277e-16,7.6545063493274e-16,-3.6939107572294e-26,-3.6939107572293e-26,5.8655250831547e-37,-5.8655250831548e-37,3.6939107572292e-26,3.6939107572295e-26,7.6545063493276e-16,7.6545063493274e-16,2.7503188672553e-16,3.8458201827061e-21,-1.1422345560051e-17,0,355.31469625632,100000000,-5.078242353378e-16,-0.002243740898097,0.0036099761875751,141.33038726078,4.3541188538846e-07,373.76816211424,326.88242236606
3.7165,2.2723029202707e-34,1.7328718282244,0,-2.3562096745292e-36,2.3562096745295e-36,3.1051760403919e-15,3.105176040392e-15,-1.5074654691013e-25,-1.5074654691013e-25,2.3562096745293e-36,-2.3562096745294e-36,1.5074654691014e-25,1.5074654691012e-25,3.1051760403919e-15,3.105176040392e-15,1.1160444458786e-15,1.5258042254789e-20,-1.8945382612181e-16,0,355.31469625632,100000000,-5.2016004672253e-16,-0.0023063306511892,0.003709610877055,145.24018828838,4.4773209958209e-07,384.18473154221,335.99636495124
3.8165,8.1533233570419e-34,1.7328937853654,0,-9.1209379384009e-36,9.1209379383997e-36,1.2138744519812e-14,1.2138744519812e-14,-5.9282434169125e-25,-5.9282434169127e-25,9.1209379384005e-36,-9.1209379384001e-36,5.9282434169124e-25,5.9282434169128e-25,1.2138744519812e-14,1.2138744519812e-14,4.3640742223608e-15,5.8370997803941e-20,-5.8398057822903e-16,0,355.31469625632,100000000,-5.2838392097901e-16,-0.0023689502296911,0.0038092356404528,149.1500954387,4.6007487892759e-07,394.60571088038,345.1143844295
3.9165,3.8001570406224e-33,1.7329157353601,0,-3.4089211245237e-35,3.4089211245236e-35,4.5815578767998e-14,4.5815578767997e-14,-2.2508974958814e-24,-2.2508974958814e-24,3.4089211245239e-35,-3.4089211245234e-35,2.2508974958813e-24,2.2508974958815e-24,4.5815578767999e-14,4.5815578767996e-14,1.6475885570491e-14,2.1572677058034e-19,-4.0993743090187e-16,0,355.31469625632,100000000,-5.4071973236373e-16,-0.0024315996604376,0.0039088504797461,153.06010915458,4.7242420164194e-07,405.03110208439,354.23648274905
