time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
3.4165,2.9191712093614E-35,1.7327962563532,0,-5.0503971358434E-37,5.0503971358426E-37,5.068809638549E-16,5.0688096385493E-16,-2.0836895735304E-26,-2.0836895735307E-26,5.0503971358437E-37,-5.0503971358423E-37,2.0836895735305E-26,2.0836895735306E-26,5.0688096385491E-16,5.0688096385491E-16,1.8200692703294E-16,2.5394868968682E-21,1.6977373865608E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002135456911305,0.003410677022452,140.92310068898,4.4408855702482E-07,,324.13097924618
3.5165,1.0762793744912E-34,1.7328179493228,0,-2.2015382084027E-36,2.2015382084025E-36,2.2313232885186E-15,2.2313232885184E-15,-9.2278331743525E-26,-9.2278331743523E-26,2.2015382084024E-36,-2.2015382084028E-36,9.2278331743524E-26,9.2278331743524E-26,2.2313232885184E-15,2.2313232885185E-15,8.0147135245061E-16,1.0905234448438E-20,3.0511149256338E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002198486404634,0.003510331570033,145.04980792662,4.5738304042675E-07,,333.69310220775
3.6165,3.9371663885943E-34,1.7328396350076,0,-9.2078328073091E-36,9.2078328073079E-36,9.4243057659955E-15,9.4243057659953E-15,-3.9209914673692E-25,-3.9209914673694E-25,9.2078328073078E-36,-9.2078328073092E-36,3.9209914673694E-25,3.9209914673692E-25,9.424305765995E-15,9.4243057659958E-15,3.3861881593263E-15,4.4963135580897E-20,2.2151057608239E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002261546097652,0.003609976187574,149.17663042986,4.7068857113956E-07,,343.25950973135
3.7165,1.6313167794194E-33,1.7328613133981,0,-3.7034037875612E-35,3.7034037875609E-35,3.8277937880189E-14,3.8277937880186E-14,-1.6021510131964E-24,-1.6021510131962E-24,3.7034037875606E-35,-3.7034037875615E-35,1.6021510131963E-24,1.6021510131963E-24,3.8277937880187E-14,3.8277937880188E-14,1.375750435393E-14,1.7839278750141E-19,-8.4755189273879E-17,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002324636017704,0.003709610877054,153.30356867079,4.8401543221166E-07,,352.83020387981
3.8165,1.1387457116378E-32,1.7328829844849,0,-1.4353597050716E-34,1.4353597050711E-34,1.4981786072523E-13,1.4981786072521E-13,-6.3084982439015E-24,-6.3084982439015E-24,1.4353597050711E-34,-1.4353597050716E-34,6.3084982439014E-24,6.3084982439016E-24,1.4981786072521E-13,1.4981786072523E-13,5.3861421933101E-14,6.8247456091953E-19,-6.1454133928549E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.00238775619218,0.003809235640453,157.43062312199,4.9735832931616E-07,,362.40518671788
3.9165,3.5732819260008E-32,1.7329046482585,0,-5.3711817580176E-34,5.3711817580171E-34,5.6614531058818E-13,5.6614531058811E-13,-2.3982634130306E-23,-2.3982634130303E-23,5.3711817580168E-34,-5.3711817580179E-34,2.3982634130304E-23,2.3982634130305E-23,5.6614531058815E-13,5.6614531058815E-13,2.0359137485627E-13,2.5223437576419E-18,-1.0642335090788E-16,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002450906648505,0.003908850479746,161.55779425645,5.10721427181E-07,,371.9844603122
4.0165,7.7439397548021E-32,1.7329263047094,0,-1.9440103857657E-33,1.9440103857659E-33,2.0692440691109E-12,2.0692440691108E-12,-8.8183301034358E-23,-8.8183301034349E-23,1.9440103857658E-33,-1.9440103857658E-33,8.8183301034352E-23,8.8183301034355E-23,2.0692440691109E-12,2.0692440691108E-12,7.443119050785E-13,9.0217058879023E-18,3.8652260164048E-18,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002514087414147,0.004008455396912,165.68508254768,5.2410721830708E-07,,381.56802673138
4.1165,2.5569260327359E-31,1.7329479538282,0,-6.8164819215629E-33,6.8164819215628E-33,7.3270363444549E-12,7.327036344455E-12,-3.1412878625161E-22,-3.1412878625162E-22,6.8164819215631E-33,-6.8164819215627E-33,3.1412878625162E-22,3.1412878625162E-22,7.3270363444549E-12,7.3270363444549E-12,2.6361996450845E-12,3.1278183806208E-17,-3.3979127317839E-16,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002577298516613,0.004108050393926,169.81248846958,5.3749576297478E-07,,391.15588804592
4.2165,1.3302301969975E-30,1.7329695956052,0,-2.3190857901656E-32,2.3190857901656E-32,2.5173270356024E-11,2.5173270356027E-11,-1.085732604756E-21,-1.0857326047562E-21,2.3190857901659E-32,-2.3190857901653E-32,1.0857326047561E-21,1.0857326047561E-21,2.5173270356025E-11,2.5173270356025E-11,9.0592356746424E-12,1.0527229238247E-16,7.4948628763437E-16,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002640539983449,0.004207635472764,173.94001249656,5.5090322360392E-07,,400.74804632826
4.3165,2.7200457819463E-30,1.7329912300311,0,-7.6662566672435E-32,7.6662566672429E-32,8.403511383232E-11,8.4035113832318E-11,-3.6462544622048E-21,-3.6462544622048E-21,7.666256667243E-32,-7.6662566672434E-32,3.6462544622047E-21,3.6462544622048E-21,8.4035113832318E-11,8.403511383232E-11,3.0248945300678E-11,3.4443845614676E-16,-2.5317232753888E-16,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002703811842243,0.004307210635402,178.06765510345,5.643266414896E-07,,410.3445036528
4.4165,1.050198731335E-29,1.7330128570962,0,-2.4656598929633E-31,2.4656598929634E-31,2.7293866664318E-10,2.7293866664319E-10,-1.1913881591594E-20,-1.1913881591595E-20,2.4656598929636E-31,-2.4656598929632E-31,1.1913881591594E-20,1.1913881591595E-20,2.7293866664319E-10,2.7293866664318E-10,9.8267042699991E-11,1.0969777256788E-15,-2.0112393043338E-16,0,355.31469625632,100000000,-8.3266726846887E-17,-0.002767114120621,0.004406775883815,182.1954167656,5.7778703502769E-07,,419.94526209584
4.5164999999999,1.8061751119791E-15,1.733034476791,0,-7.7250366303059E-31,7.7250366303059E-31,8.6354851687899E-10,8.6354851687899E-10,-3.7920676829789E-20,-3.792067682979E-20,7.7250366303061E-31,-7.7250366303057E-31,3.7920676829789E-20,3.792067682979E-20,8.6354851687899E-10,8.6354851687898E-10,3.1097039750054E-10,3.4048523076066E-15,-3.8559669761848E-16,0,355.31469625632,100000000,-1.1796119636642E-16,-0.002830446846253,0.004506331219975,186.32329795872,5.9124941127897E-07,,429.55032373559
4.6164999999999,5.6900058276284E-15,1.733056089106,0,-2.3603951142837E-30,2.3603951142838E-30,2.6645571808947E-09,2.6645571808947E-09,-1.1771033522086E-19,-1.1771033522086E-19,2.3603951142838E-30,-2.3603951142837E-30,1.1771033522086E-19,1.1771033522086E-19,2.6645571808948E-09,2.6645571808947E-09,9.5971698798376E-10,1.0311078595002E-14,3.1276180779414E-16,0,355.31469625632,100000000,-1.3183898417424E-16,-0.002893810046844,0.004605876645857,190.45129915898,6.0472225660009E-07,,439.15969065211
4.7164999999999,1.6946576527604E-14,1.7330776940315,0,-7.0412985265531E-30,7.0412985265534E-30,8.0268856805704E-09,8.0268856805708E-09,-3.567269612399E-19,-3.5672696123992E-19,7.0412985265537E-30,-7.0412985265529E-30,3.5672696123991E-19,3.567269612399E-19,8.0268856805707E-09,8.0268856805706E-09,2.8916625622269E-09,3.0498233171154E-14,2.1932208452964E-16,0,355.31469625632,100000000,-1.873501354055E-16,-0.002957203750145,0.004705412163434,194.57942084293,6.1822960321245E-07,,448.77336492712
4.8164999999999,4.9685426387181E-14,1.7330992915579,0,-2.0527798419929E-29,2.0527798419927E-29,2.3631457981521E-08,2.3631457981521E-08,-1.0565201112327E-18,-1.0565201112328E-18,2.0527798419928E-29,-2.0527798419928E-29,1.0565201112328E-18,1.0565201112327E-18,2.363145798152E-08,2.3631457981522E-08,8.5147169449215E-09,8.8194288596975E-14,-9.7192004164693E-17,0,355.31469625632,100000000,-1.873501354055E-16,-0.003020627983948,0.004804937774677,198.70766348722,6.3174036279112E-07,,458.39134864364
4.9164999999999,1.424634908976E-13,1.7331208816757,0,-5.8541550542982E-29,5.8541550542969E-29,6.8055937805644E-08,6.8055937805643E-08,-3.0609114084942E-18,-3.0609114084946E-18,5.8541550542975E-29,-5.8541550542976E-29,3.0609114084944E-18,3.0609114084945E-18,6.8055937805641E-08,6.8055937805646E-08,2.4525724099238E-08,2.4957741346922E-13,5.3046812778212E-16,0,355.31469625632,100000000,-1.873501354055E-16,-0.003084082776095,0.004904453481559,202.83602756807,6.4527145611667E-07,,468.01364388442
